389	1935	-156	-6	-142	0	0	17	-142	0
-607	2000	-5	-9	-33	0	0	26	-33	0
289	2095	91	-6	-133	0	0	18	-133	0
-268	1313	55	-7	-89	0	0	20	-89	0
-735	1776	-173	-2	-83	0	0	5	-83	0
-880	1408	35	-7	-57	0	0	20	-57	0
-1680	592	19	-5	100	0	0	14	100	0
-1480	1161	67	-21	-91	0	0	62	-91	0
-2032	549	223	-4	-180	0	0	12	-180	0
-1264	368	147	-4	-40	0	0	11	-40	0
-496	-112	-77	-3	36	0	0	10	36	0
221	-66	105	-5	-145	0	0	14	-145	0
-272	-382	147	-6	48	0	0	18	48	0
288	-352	-165	2	110	0	0	-5	110	0
768	672	-45	-5	-111	0	0	14	-111	0
976	-80	260	-16	78	0	0	47	78	0
976	-80	260	-16	78	0	0	47	78	0
976	0	-82	2	76	0	0	-6	76	0
1968	-545	83	-5	-140	0	0	15	-140	0
992	-1712	-17	-3	87	0	0	8	87	0
720	-1300	-45	-2	-103	0	0	6	-103	0
703	-2126	-93	3	-1	0	0	-9	-1	0
1296	-1744	131	-4	-47	0	0	11	-47	0
1648	-1264	83	-2	136	0	0	7	136	0
1328	-1392	83	-6	118	0	0	18	118	0
674	-1584	195	-6	22	0	0	18	22	0
-17	-1804	-125	2	-146	0	0	-7	-146	0
-476	694	20	-6	34	0	0	18	34	0
304	1008	-194	-1	-159	0	0	2	-159	0
-1888	-464	147	-5	-22	0	0	14	-22	0
-1680	104	147	-3	-101	0	0	8	-101	0
-1584	-1136	198	-3	44	0	0	8	44	0
-656	-480	19	-1	-120	0	0	3	-120	0
109	-1051	-45	-3	-180	0	0	9	-180	0
80	-448	-109	1	-102	0	0	-2	-102	0
-624	-1905	54	-2	87	0	0	7	87	0
976	-496	-37	-2	40	0	0	6	40	0
624	208	-109	-1	153	0	0	4	153	0
-112	304	-109	-3	26	0	0	9	26	0
-998	816	-45	-8	-34	0	0	23	-34	0
-704	592	-173	2	168	0	0	-6	168	0
-1840	496	147	-4	-85	0	0	12	-85	0
-1584	-448	19	-5	61	0	0	16	61	0
-1136	-464	19	-2	-112	0	0	7	-112	0
-364	-912	-45	-3	-170	0	0	9	-170	0
48	-2224	-107	-2	55	0	0	6	55	0
340	-1625	-125	-3	-88	0	0	10	-88	0
1504	-272	-45	0	-76	0	0	0	-76	0
784	208	-109	-2	4	0	0	5	4	0
-265	64	-104	0	-38	0	0	1	-38	0
-400	368	211	-4	-159	0	0	12	-159	0
-1261	80	147	-4	11	0	0	11	11	0
-1888	-880	147	-5	19	0	0	15	19	0
-582	816	-168	-1	-25	0	0	3	-25	0
-1082	624	-45	0	173	0	0	0	173	0
-800	976	35	-4	92	0	0	12	92	0
-555	1509	-37	-3	99	0	0	9	99	0
1968	-592	-45	-3	-147	0	0	8	-147	0
1872	-928	-45	-3	104	0	0	10	104	0
-603	581	307	-13	42	0	0	40	42	0
