-102	-2200	51	0	-42	0	0	1	-42	0
807	-2141	-4	0	-61	0	0	0	-61	0
517	-2403	51	0	150	0	0	0	150	0
-101	-2666	51	0	28	0	0	0	28	0
-487	-1609	131	-1	139	0	0	3	139	0
-225	-1739	-12	0	18	0	0	-2	18	0
-372	-989	-12	0	-48	0	0	1	-48	0
-1285	-1684	-12	-1	49	0	0	3	49	0
-1027	-951	-12	0	-31	0	0	-1	-31	0
-797	-615	-12	-1	52	0	0	3	52	0
-422	-876	147	-3	157	0	0	10	157	0
-358	-695	-12	0	-38	0	0	1	-38	0
353	-1002	-12	1	16	0	0	-4	16	0
857	-1484	-12	0	21	0	0	1	21	0
1401	-1944	27	-1	130	0	0	3	130	0
1995	-1097	32	0	117	0	0	0	117	0
1614	-1802	3	0	19	0	0	1	19	0
1698	-1497	-12	0	136	0	0	1	136	0
1192	-1006	51	0	146	0	0	2	146	0
854	-567	51	0	-52	0	0	0	-52	0
-490	-307	3	-1	-33	0	0	4	-33	0
-73	-699	-12	0	32	0	0	0	32	0
393	-619	-12	0	141	0	0	0	141	0
1251	-306	51	0	-170	0	0	1	-170	0
644	126	51	-2	-125	0	0	8	-125	0
225	548	147	-1	-138	0	0	3	-138	0
-222	31	115	0	42	0	0	2	42	0
-736	208	115	0	-8	0	0	1	-8	0
-682	-339	131	-1	41	0	0	5	41	0
-578	-1437	11	0	134	0	0	2	134	0
-1314	-1244	-12	0	-62	0	0	1	-62	0
-222	536	147	-1	-49	0	0	3	-49	0
